T_face,T_geo,quality_score,identity,is_inside_geofence,time_of_day,label
0.8592829319211993,0.8358063516339028,0.7825820452821045,29,1.0,11.0,1
0.732809890178415,0.512195855258686,0.7766261091056572,63,1.0,8.0,1
0.7481780490822794,0.747452638757277,0.8269897983814982,7,1.0,20.0,1
0.9205392457778483,0.7805222566475499,0.5838386126033481,94,1.0,21.0,1
0.8081757085008803,0.8430877068210995,0.967122533779511,62,1.0,16.0,1
0.5843683198074955,0.7837721624390117,0.8205469257487562,36,1.0,8.0,1
0.7107692044242336,0.6234354493046182,0.8371287210492772,95,1.0,12.0,1
0.503326109043391,0.95677773196588,0.6901878762530892,61,1.0,11.0,1
0.8801096044119348,0.7752233511501199,0.8931272039118819,26,1.0,14.0,1
0.8939430684187979,0.834068875910404,0.7820785721813507,2,1.0,22.0,1
0.7796346929771246,0.668937241995029,0.577388794954635,55,1.0,22.0,1
0.7337185248224611,0.8650276717903966,0.9248604426276587,51,1.0,14.0,1
0.75117245843078,0.8528664303043523,0.6326603388053027,47,1.0,17.0,1
0.91999399777687,0.8186967804669756,0.690063875619247,88,1.0,8.0,1
0.941629013827884,0.7514170594641959,0.6111369377460412,47,1.0,17.0,1
0.9569853802090668,0.7580688609835068,0.575872540323884,60,1.0,21.0,1
0.8687190944279571,0.8283235863116831,0.8690278827187251,86,1.0,6.0,1
0.8365689485049329,0.8600541820609107,0.7760709796431435,16,1.0,13.0,1
0.8738544667488275,0.8533023191255013,0.5946041329436974,15,1.0,19.0,1
0.930112100229434,0.7229429305887186,0.7908294024824764,69,1.0,20.0,1
0.8183932502681857,0.8501854627538307,0.49792513195971505,12,1.0,15.0,1
0.9096056676215091,0.810220832303428,0.876482610143147,47,1.0,13.0,1
0.745994700417176,0.9657027352707895,0.6943691701266614,93,1.0,10.0,1
0.6746345091629605,0.8726426641810716,0.9035791876698206,90,1.0,17.0,1
0.8876384337516704,0.8679712320058944,0.829273492291968,25,1.0,15.0,1
0.8904501660545586,0.7670290571205531,0.8882249117852796,63,1.0,8.0,1
0.9598408823787504,0.5094583022358941,0.7357162132275937,85,1.0,18.0,1
0.8325192005569236,0.8994068802309293,0.7702665470328761,56,1.0,12.0,1
0.9165528769273366,0.8547542582371698,0.75070879318501,6,1.0,19.0,1
0.9144568542932169,0.9531766986942953,0.7650928143183869,53,1.0,12.0,1
0.8444587892967974,0.6621565511294559,0.9494507396387135,37,1.0,11.0,1
0.7630440392999644,0.7450257075926023,0.7922282367074179,53,1.0,8.0,1
0.4527119568261018,0.9734993575023821,0.6771431864267836,83,1.0,18.0,1
0.8335737092021382,0.888398853473169,0.7072876972997456,85,1.0,22.0,1
0.9838505746399072,0.7284982612731824,0.5883254528583087,73,1.0,22.0,1
0.8997156227224611,0.7273167708281004,0.8062558147380201,2,1.0,17.0,1
0.7433839806986606,0.8245492480131478,0.8236102614910302,81,1.0,20.0,1
0.8532348918960376,0.6729535030506638,0.9103557215476796,33,1.0,11.0,1
0.6774971844769477,0.8763218124065335,0.5361675954360823,50,1.0,10.0,1
0.8315898834042514,0.7198797487719409,0.8360124337195869,85,1.0,20.0,1
0.8499964807189386,0.7269649646395056,0.712269423992945,77,1.0,7.0,1
0.7558548991237215,0.8503271932607591,0.8091759540804622,56,1.0,22.0,1
0.8362737647858347,0.662330604174743,0.5130294707109909,82,1.0,15.0,1
0.7208078481023205,0.7290794514192631,0.8394932068089012,74,1.0,14.0,1
0.6905456749363761,0.849449554473319,0.7936206298474446,78,1.0,16.0,1
0.612804092419386,0.9576731173124857,0.8936596341861727,10,1.0,9.0,1
0.971852113751647,0.7173919114511896,0.9307843774078582,68,1.0,17.0,1
0.8673260693644188,0.8708386125532813,0.7493900519085531,34,1.0,10.0,1
0.7321816005119891,0.6835701696100643,0.9706419199230726,14,1.0,6.0,1
0.8601538577711373,0.7437231884398369,0.4382052012089179,28,1.0,6.0,1
0.8573160983177806,0.859875057958444,0.8179978929476359,37,1.0,18.0,1
0.9089514841943114,0.9310882827166761,0.5516160783961553,10,1.0,15.0,1
0.8384574717704829,0.8360287819392213,0.9166968213301125,67,1.0,10.0,1
0.7822941858683022,0.451906007302628,0.6535064879238143,35,1.0,6.0,1
0.6898966448527295,0.8604202336041382,0.9196334197129015,1,1.0,12.0,1
0.9349374075330155,0.7697714697526467,0.8413504921355066,21,1.0,22.0,1
0.47474023360502027,0.8018229051908762,0.7663812167612991,17,1.0,6.0,1
0.5996169868827915,0.8108877474554582,0.8063632909026759,33,1.0,6.0,1
0.7952198729442642,0.8624091678875696,0.6954115216530216,96,1.0,20.0,1
0.6546599506743286,0.869412444061697,0.4596621033596947,18,1.0,9.0,1
0.8036063206525541,0.8805031263070274,0.700237827312042,52,1.0,17.0,1
0.7590605474184559,0.7687569553509189,0.783727349672973,21,1.0,16.0,1
0.7873425853539046,0.8723481328051629,0.6446460380671322,85,1.0,11.0,1
0.7335051980610912,0.7795218757200827,0.8012845935840935,52,1.0,9.0,1
0.7117783914405912,0.8293871723149301,0.9629860120752366,82,1.0,8.0,1
