image_path,identity_id
lfw-deepfunneled/Aaron_Peirsol/Aaron_Peirsol_0001.jpg,0
lfw-deepfunneled/Aaron_Peirsol/Aaron_Peirsol_0002.jpg,0
lfw-deepfunneled/Aaron_Peirsol/Aaron_Peirsol_0003.jpg,0
lfw-deepfunneled/Aaron_Peirsol/Aaron_Peirsol_0004.jpg,0
lfw-deepfunneled/Aaron_Sorkin/Aaron_Sorkin_0001.jpg,1
lfw-deepfunneled/Aaron_Sorkin/Aaron_Sorkin_0002.jpg,1
lfw-deepfunneled/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0001.jpg,2
lfw-deepfunneled/Abdel_Nasser_Assidi/Abdel_Nasser_Assidi_0002.jpg,2
lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0001.jpg,3
lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0002.jpg,3
lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0003.jpg,3
lfw-deepfunneled/Abdoulaye_Wade/Abdoulaye_Wade_0004.jpg,3
lfw-deepfunneled/Abdullah/Abdullah_0001.jpg,4
lfw-deepfunneled/Abdullah/Abdullah_0002.jpg,4
lfw-deepfunneled/Abdullah/Abdullah_0003.jpg,4
lfw-deepfunneled/Abdullah/Abdullah_0004.jpg,4
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0001.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0002.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0003.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0004.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0005.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0006.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0007.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0008.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0009.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0010.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0011.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0012.jpg,5
lfw-deepfunneled/Abdullah_Gul/Abdullah_Gul_0013.jpg,5
